State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AZ,04,09630,Yuma Union High School District,"208,565","12,138","2,134"
AR,05,02250,Alma School District,"16,066","3,064",483
AR,05,02280,Alpena School District,"2,855",518,103
AR,05,02430,Arkadelphia School District,"15,323","2,047",393
AR,05,02550,Armorel School District,"1,409",292,33
AR,05,02580,Ashdown School District,"8,709","1,387",337
AR,05,02610,Atkins Public Schools,"6,620","1,206",212
AR,05,02670,Augusta School District,"2,874",430,149
AR,05,02700,Bald Knob School District,"6,815","1,210",258
AR,05,02730,Barton-Lexa School District,"2,250",404,125
AR,05,00019,Batesville School District,"20,827","3,707",634
AR,05,02790,Bauxite School District,"7,239","1,366",131
AR,05,02820,Bay School District,"3,086",586,101
AR,05,00032,Bearden School District,"2,828",497,96
AR,05,02880,Beebe School District,"18,864","3,598",561
AR,05,02960,Benton School District,"33,580","6,149",735
AR,05,03060,Bentonville Public Schools,"120,924","23,160","1,136"
AR,05,03090,Bergman School District,"5,240","1,007",182
AR,05,03150,Berryville Public Schools,"11,227","2,062",393
AR,05,03240,Bismarck Public Schools,"6,476",982,176
AR,05,03300,Blevins School District,"3,143",539,182
AR,05,03320,Blytheville School District,"13,858","2,631",962
AR,05,03450,Booneville School District,"7,523","1,232",322
AR,05,03480,Bradford School District,"2,690",489,107
AR,05,03630,Brinkley School District,"3,541",607,263
AR,05,03640,Brookland School District,"13,070","2,721",259
AR,05,03690,Bryant Public Schools,"58,948","11,066","1,251"
AR,05,03710,Buffalo Island Central School District,"4,611",820,131
AR,05,03750,Cabot Public Schools,"56,673","10,901","1,093"
AR,05,03770,Caddo Hills School District,"3,410",556,160
AR,05,03840,Calico Rock School District,"3,809",373,81
AR,05,06060,Camden Fairview School District,"16,396","2,609",677
AR,05,03960,Carlisle School District,"3,986",638,81
AR,05,04050,Cave City School District,"8,553","1,444",288
AR,05,00070,Cedar Ridge School District,"5,451","1,038",179
AR,05,04080,Cedarville School District,"4,868",806,132
AR,05,06690,Centerpoint School District,"5,195",991,262
AR,05,04200,Charleston School District,"4,977",895,130
AR,05,04350,Clarendon School District,"3,049",496,155
AR,05,04380,Clarksville School District,"14,670","2,713",503
AR,05,00067,Cleveland County School District,"4,548",726,143
AR,05,04410,Clinton School District,"8,479","1,334",272
AR,05,04560,Concord Public Schools,"4,165",642,104
AR,05,04590,Conway Public Schools,"80,511","12,160","1,864"
AR,05,00009,Corning Public Schools,"6,070",965,211
AR,05,00405,Cossatot River School District,"4,819",923,267
AR,05,04680,Cotter School District,"4,589",718,151
AR,05,04740,County Line School District,"3,360",574,115
AR,05,07740,Cross County School District,"3,286",539,101
AR,05,04800,Crossett School District,"10,268","1,766",466
AR,05,04860,Cutter-Morning Star School District,"3,775",661,135
AR,05,04890,Danville School District,"3,489",625,142
AR,05,04930,Dardanelle Public Schools,"10,158","1,746",385
AR,05,00049,De Queen School District,"12,244","2,549",590
AR,05,00001,DeWitt School District,"7,657","1,225",220
AR,05,04980,Decatur School District,"3,796",725,84
AR,05,00072,Deer/Mount Judea School District,"2,082",295,87
