latitude,longitude,Offers CS?,is High School,School District Name,School Name,State,Grade Levels,teaches_cs
27.96403,-82.399227,No,HS,IDEA PUBLIC SCHOOLS,Idea Hope,FL,elmihi,N
30.411444,-81.686686,No,HS,IDEA PUBLIC SCHOOLS,Idea Bassett,FL,elmihi,N
30.364961,-81.599478,No,HS,DUVAL,Jacksonville Classical Academy East,FL,elmihi,N
42.016443,-87.684996,No,HS,CITY OF CHICAGO SD 299,Acero Chtr Sch Network- Sor Juana Ines de la Cruz K-12,IL,elmihi,N
43.232582,-86.239585,No,HS,LIGHTHOUSE ACADEMY,MUSKEGON COUNTY JUVENILE TRANSITION CENTER,MI,elmihi,N
39.779999,-94.829238,No,HS,ST. JOSEPH,Virtual Academy,MO,elmihi,N
35.723454,-81.68837,No,HS,BURKE COUNTY SCHOOLS,BURKE VIRTUAL ACADEMY,NC,elmihi,N
35.104593,-90.068024,No,HS,MEMPHIS-SHELBY COUNTY SCHOOLS,Carver College and Career Academy,TN,elmihi,N
29.383782,-98.47777,No,HS,NEW FRONTIERS PUBLIC SCHOOLS INC,FRANK L MADLA ACCELERATED COLLEGIATE ACADEMY,TX,elmihi,N
29.329216,-98.546874,No,HS,SOUTH SAN ANTONIO ISD,ALTERNATIVE SCHOOL,TX,elmihi,N
33.231494,-97.156438,No,HS,KI CHARTER ACADEMY,KI CHARTER - DENTON,TX,elmihi,N
29.790562,-94.963346,No,HS,GOOSE CREEK CISD,GCCISD VIRTUAL ACADEMY,TX,elmihi,N
32.746246,-97.339975,No,HS,KI CHARTER ACADEMY,KI CHARTER - FORT WORTH,TX,elmihi,N
45.623883,-122.609439,No,HS,VANCOUVER SCHOOL DISTRICT,Vancouver Intensive Communications Center,WA,elmihi,N
44.522358,-87.930822,No,HS,GREEN BAY AREA PUBLIC SCHOOL DISTRICT,Brown County Institute of Learning,WI,elmihi,N
35.371692,-94.393953,Yes,HS,RESPONSIVE ED SOLUTIONS PREMIER HIGH SCHOOL OF LITTLE ROCK,PREMIER HIGH SCHOOL OF FORT SMITH,AR,____hi,Y
34.734735,-92.28915,Yes,HS,RESPONSIVE ED SOLUTIONS PREMIER HIGH SCHOOL OF LITTLE ROCK,PREMIER HIGH SCHOOL ONLINE,AR,____hi,Y
33.713485,-118.296772,Yes,HS,LOS ANGELES UNIFIED,ANGEL'S GATE (CONTINUATION),CA,____hi,Y
34.169039,-118.570025,Yes,HS,LOS ANGELES UNIFIED,HENRY DAVID THOREAU CONTINUATION,CA,____hi,Y
34.059841,-118.296836,Yes,HS,LOS ANGELES UNIFIED,Los Angeles High School for the Arts,CA,____hi,Y
33.782907,-118.283573,Yes,HS,LOS ANGELES UNIFIED,Dr Richard A Vladovic Harbor Teacher Preparation Academy,CA,____hi,Y
33.822655,-118.274237,Yes,HS,LOS ANGELES UNIFIED,Carson Academy of Education And Empower,CA,____hi,Y
34.038388,-118.211071,Yes,HS,LOS ANGELES UNIFIED,Math Science And Technology Magnet Academy At Roosevelt High School,CA,____hi,Y
34.170983,-118.371581,Yes,HS,LOS ANGELES UNIFIED,EAST VALLEY SENIOR HIGH,CA,____hi,Y
