latitude,longitude,Offers CS?,School District Name,School Name,State,Agency ID,State Abbr,Grades 9-12 Students [District] 2023-24,Male Students [District] 2023-24,Female Students [District] 2023-24,American Indian/Alaska Native Students [District] 2023-24,Asian or Asian/Pacific Islander Students [District] 2023-24,Hispanic Students [District] 2023-24,Black or African American Students [District] 2023-24,White Students [District] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [District] 2023-24,Two or More Races Students [District] 2023-24,Pupil/Teacher Ratio [District] 2023-24,Full-Time Equivalent (FTE) Teachers [District] 2023-24,Total Staff [District] 2023-24,Librarians/media specialists [District] 2023-24,Media Support Staff [District] 2023-24,Total Revenue - Local Sources (TLOCREV) [District Finance] 2020-21,Total Revenue - State Sources (TSTREV) [District Finance] 2020-21,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2020-21,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2020-21,Diploma Recipients & Other Completers [District] 2022-23,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
47.399425,-116.670258,0,KOOTENAI DISTRICT,KOOTENAI JR/SR HIGH SCHOOL,ID,1601740,ID,61,92,111,2,1,9,2,189,0,0,13.1,15.5,40.18,0,0,1102000,1795000,480000,22364,6,"2,292",303,40
43.613737,-116.416251,1,JOINT SCHOOL DISTRICT NO. 2,MERIDIAN HIGH SCHOOL,ID,1602100,ID,14008,20039,18952,171,963,5181,837,29686,163,1990,18.53,2103.94,3562.65,18.99,33.89,85753000,242415000,39580000,9680,2989,"265,628","49,709","2,762"
43.69458,-116.336867,0,JOINT SCHOOL DISTRICT NO. 2,EAGLE ACADEMY,ID,1602100,ID,14008,20039,18952,171,963,5181,837,29686,163,1990,18.53,2103.94,3562.65,18.99,33.89,85753000,242415000,39580000,9680,2989,"265,628","49,709","2,762"
43.613737,-116.416251,0,JOINT SCHOOL DISTRICT NO. 2,ADA PROFESSIONAL-TECHNICAL CENTER,ID,1602100,ID,14008,20039,18952,171,963,5181,837,29686,163,1990,18.53,2103.94,3562.65,18.99,33.89,85753000,242415000,39580000,9680,2989,"265,628","49,709","2,762"
43.659975,-116.375522,0,JOINT SCHOOL DISTRICT NO. 2,CENTRAL ACADEMY HIGH SCHOOL,ID,1602100,ID,14008,20039,18952,171,963,5181,837,29686,163,1990,18.53,2103.94,3562.65,18.99,33.89,85753000,242415000,39580000,9680,2989,"265,628","49,709","2,762"
42.6191,-113.677586,0,MINIDOKA COUNTY JOINT DISTRICT,MINI-CASSIA JUVENILE DETENTION CENTER,ID,1602190,ID,1344,2255,2139,25,9,2047,11,2273,8,21,17.18,255.72,457.74,1,2.98,6155000,31226000,6690000,10362,283,"23,427","5,008",623
46.493562,-116.263802,1,OROFINO JOINT DISTRICT,OROFINO HIGH SCHOOL,ID,1602520,ID,434,638,460,22,4,85,1,956,2,28,14.08,77.98,151.65,0,1.24,4181000,9426000,2655000,15990,106,"9,349","1,101",172
42.80779,-112.372264,1,POCATELLO DISTRICT,CENTURY HIGH SCHOOL,ID,1602640,ID,4083,6161,5747,429,91,1652,66,9087,58,525,18.71,636.44,1143.99,0,4.75,19306000,71766000,24238000,9702,991,"83,192","15,534","1,753"
43.373425,-112.135306,0,SHELLEY JOINT DISTRICT,SHELLEY SENIOR HIGH SCHOOL,ID,1602910,ID,824,1356,1203,8,18,376,11,2129,11,6,20.75,123.32,228.97,0,3.02,3399000,13752000,3466000,9171,177,"11,213","2,642",285
44.677803,-113.360883,0,SOUTH LEMHI DISTRICT,LEADORE SCHOOL,ID,1603030,ID,39,68,60,0,0,5,1,115,0,7,10.02,12.77,20.32,0,0,131000,1674000,322000,18991,8,710,115,33
37.553769,-88.978411,0,GOREVILLE CUD 1,Goreville High School,IL,1700014,IL,176,335,314,0,2,1,5,633,0,8,15.09,43,83.5,0,–,3502000,5469000,599000,15689,31,"3,777",555,57
40.203307,-89.707954,0,ILLINI CENTRAL CUSD 189,Illini Central High School,IL,1700113,IL,190,348,320,0,2,19,1,634,0,12,11.04,60.5,97.5,0,–,6290000,6374000,983000,20491,38,"4,146",658,110
41.454583,-89.681677,0,BUREAU VALLEY CUSD 340,Bureau Valley High School,IL,1700125,IL,303,464,461,1,0,58,2,834,0,30,10.32,89.75,271.36,0,–,12151000,9333000,1210000,22808,74,"6,084","1,009",113
